id,en,yo,category,difficulty,tags,notes_yo
1,hello,báwo,greetings,1,daily;kids,also: 'ẹ n lẹ' (formal)
2,good morning,ẹ káàrọ̀,greetings,1,daily,
3,good afternoon,ẹ káàsán,greetings,1,daily,
4,good evening,ẹ kúalẹ́,greetings,1,daily,
5,how are you?,ṣé àlàáfíà ni?,greetings,2,daily,
6,thank you,ẹ ṣé,polite,1,daily,
7,please,jọ̀wọ́,polite,1,daily,
8,sorry,má bínú,polite,1,daily,
9,family,ẹbí,family,1,kids,tone marks matter
10,mother,ìyá,family,1,kids,
11,father,bàbá,family,1,kids,
12,child,ọmọ,family,1,kids,
13,food,oúnjẹ,food,1,daily;kids,
14,water,omi,food,1,daily,
15,rice,ìrẹsì,food,1,,
16,pepper,ata,food,1,,
17,school,ilé-ìwé,school,1,kids,
18,teacher,olùkọ́,school,2,kids,
19,book,ìwé,school,1,kids,
20,pen,kálàmù,school,2,,
21,one,ọ̀kan,numbers,1,kids,
22,two,èjì,numbers,1,kids,
23,three,ẹ̀ta,numbers,1,kids,
24,four,ẹ̀rìn,numbers,1,kids,
25,red,pupa,colors,1,kids,
26,blue,búlúù,colors,2,kids,
27,come,wá,actions,1,daily,
28,go,lọ,actions,1,daily,
29,stop,dúró,actions,1,daily,
30,where is it?,ǹibo ni?,travel,2,daily,
31,i am tired,mo rẹ́,health,2,daily,
32,i am fine,mo wà dáadáa,health,2,daily,
33,word_33,,food,1,,
34,word_34,,school,1,,
35,word_35,,numbers,1,,
36,word_36,,colors,1,,
37,word_37,,actions,1,,
38,word_38,,travel,1,,
39,word_39,,health,1,,
40,word_40,,polite,1,,
41,word_41,,greetings,1,,
42,word_42,,family,1,,
43,word_43,,food,1,,
44,word_44,,school,1,,
45,word_45,,numbers,1,,
46,word_46,,colors,1,,
47,word_47,,actions,1,,
48,word_48,,travel,1,,
49,word_49,,health,1,,
50,word_50,,polite,1,,
51,word_51,,greetings,1,,
52,word_52,,family,1,,
53,word_53,,food,1,,
54,word_54,,school,1,,
55,word_55,,numbers,1,,
56,word_56,,colors,1,,
57,word_57,,actions,1,,
58,word_58,,travel,1,,
59,word_59,,health,1,,
60,word_60,,polite,1,,
61,word_61,,greetings,1,,
62,word_62,,family,1,,
63,word_63,,food,1,,
64,word_64,,school,1,,
65,word_65,,numbers,1,,
66,word_66,,colors,1,,
67,word_67,,actions,1,,
68,word_68,,travel,1,,
69,word_69,,health,1,,
70,word_70,,polite,1,,
71,word_71,,greetings,1,,
72,word_72,,family,1,,
73,word_73,,food,1,,
