id,en,yo,ig,pg,category,difficulty,tags,notes_yo,notes_ig,notes_pg,synonyms_yo,synonyms_ig,synonyms_pg
1,hello,báwo,ndewo,how far,greetings,1,daily;kids,also: 'ẹ n lẹ' (formal),,,,,
2,good morning,ẹ káàrọ̀,ụtụtụ ọma,good morning,greetings,1,daily,,,,,,
3,good afternoon,ẹ káàsán,ehihie ọma,good afternoon,greetings,1,daily,,,,,,
4,good evening,ẹ kúalẹ́,mgbede ọma,good evening,greetings,1,daily,,,,,,
5,how are you?,ṣé àlàáfíà ni?,kedu ka i mere?,how you dey?,greetings,2,daily,,,,,,
6,thank you,ẹ ṣé,daalụ,thank you,polite,1,daily,,,,,,
7,please,jọ̀wọ́,biko,abeg,polite,1,daily,,,,,,
8,sorry,má bínú,ndo,sorry,polite,1,daily,,,,,,
9,family,ẹbí,ezinụlọ,family,family,1,kids,tone marks matter,,,,,
10,mother,ìyá,nne,mama,family,1,kids,,,,,,
11,father,bàbá,nna,papa,family,1,kids,,,,,,
12,child,ọmọ,nwa,pikin,family,1,kids,,,,,,
13,food,oúnjẹ,nri,food,food,1,daily;kids,,,,,,
14,water,omi,mmiri,water,food,1,daily,,,,,,
15,rice,ìrẹsì,osikapa,rice,food,1,,,,,,,
16,pepper,ata,ọse,pepper,food,1,,,,,,,
17,school,ilé-ìwé,ụlọ akwụkwọ,school,school,1,kids,,,,,,
18,teacher,olùkọ́,onye nkuzi,teacher,school,2,kids,,,,,,
19,book,ìwé,akwụkwọ,book,school,1,kids,,,,,,
20,pen,kálàmù,pẹn,pen,school,2,,,,,,,
21,one,ọ̀kan,otu,one,numbers,1,kids,,,,,,
22,two,èjì,abụọ,two,numbers,1,kids,,,,,,
23,three,ẹ̀ta,atọ,three,numbers,1,kids,,,,,,
24,four,ẹ̀rìn,anọ,four,numbers,1,kids,,,,,,
25,red,pupa,uhie,red,colors,1,kids,,,,,,
26,blue,búlúù,anụnụ anụnụ,blue,colors,2,kids,,,,,,
27,come,wá,bịa,come,actions,1,daily,,,,,,
28,go,lọ,gaa,go,actions,1,daily,,,,,,
29,stop,dúró,kwụsị,stop,actions,1,daily,,,,,,
30,where is it?,ǹibo ni?,ọ dị ebee?,where e dey?,travel,2,daily,,,,,,
31,i am tired,mo rẹ́,ike gwụrụ m,i dey tired,health,2,daily,,,,,,
32,i am fine,mo wà dáadáa,adị m mma,i dey okay,health,2,daily,,,,,,
33,age,Ọjọ́ orí,Afọ,Age,food,1,,,,,,,
34,ago,Sẹ́yìn,Gara aga,Before,school,1,,,,,,,
35,agree,Fọwọ́ sí,Kwekọrịta,Agree,numbers,1,,,,,,,
36,air,Afẹ́fẹ́,Ikuku,Air,colors,1,,,,,,,
37,airport,Pápá ọkọ̀ ofurufu,Ọdụ ụgbọ elu,Airport,actions,1,,,,,,,
38,alive,Wà láyè,Dị ndụ,Dey alive,travel,1,,,,,,,
39,all,Gbogbo,Niile,All,health,1,,,,,,,
40,allow,Gba láyè,Kwe,Allow,polite,1,,,,,,,
41,almost,Fẹ́rẹ̀,Ọ fọrọ,Almost,greetings,1,,,,,,,
42,alone,Nìkan,Naanị,Alone,family,1,,,,,,,
43,along,Pẹ̀lú,Soro,Follow,food,1,,,,,,,
44,already,Ti,Ugbua,Don,school,1,,,,,,,
45,also,Pẹ̀lú,Kwa,Also,numbers,1,,,,,,,
46,although,Bó tilẹ̀ jẹ́ wípé,Ọ bụ ezie,Even if,colors,1,,,,,,,
47,always,Láìpẹ́,Mgbe niile,Always,actions,1,,,,,,,
48,amaze,Yẹnú,Tụrụ n'anya,Shock,travel,1,,,,,,,
49,ambition,Ifẹ́ ọkàn,Ọchịchọ,Mind,health,1,,,,,,,
50,among,Lára,N'etiti,For middle,polite,1,,,,,,,
51,amount,Iye,Ọnụ ego,How much,greetings,1,,,,,,,
52,amuse,Tẹrí ba,Na-atọ ọchị,Make person laugh,family,1,,,,,,,
53,ancestor,Bàbà ńlá,Nna ochie,Old-old papa,food,1,,,,,,,
54,ancient,Àtijọ́,Ochie,Tori way tay pass,school,1,,,,,,,
55,and,Àti,Na,And,numbers,1,,,,,,,
56,anger,Ìbínú,Iwe,Anger,colors,1,,,,,,,
57,angry,Bínú,Iwe,Vex,actions,1,,,,,,,
58,animal,Ẹranko,Anụmanụ,Animal,travel,1,,,,,,,
59,announce,Ṣe ìpolongo,Kwupụta,Tell everybody,health,1,,,,,,,
